Info 0    [18:42:45.120] Starting TS Server
Info 1    [18:42:45.120] Version: 4.1.2
Info 2    [18:42:45.120] Arguments: /usr/bin/node /usr/bin/tsserver --logFile /home/syuni/dotfiles/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/112ebf2a58f475ae4c81cdbbb0a8aada/tscancellation*
Info 3    [18:42:45.120] Platform: linux NodeVersion: 15 CaseSensitive: true
Info 4    [18:42:45.120] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [18:42:45.134] Search path: /home/syuni/dotfiles/.emacs.d/.cache/lsp/npm/vls/lib/node_modules/vls/node_modules/typescript/lib
Info 6    [18:42:45.135] For info: /home/syuni/dotfiles/.emacs.d/.cache/lsp/npm/vls/lib/node_modules/vls/node_modules/typescript/lib/lib.es5.d.ts :: No config files found.
Info 7    [18:42:45.139] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 8    [18:42:45.376] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 236.43023100029677ms
Info 9    [18:42:45.376] Project '/dev/null/inferredProject1*' (Inferred)
Info 10   [18:42:45.376] 	Files (1)

Info 11   [18:42:45.376] -----------------------------------------------
Info 12   [18:42:46.898] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 13   [18:42:46.899] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false Elapsed: 0.646984999999404ms
Info 14   [18:42:49.147] Before ensureProjectForOpenFiles:
Info 15   [18:42:49.148] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 16   [18:42:49.150] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: true Elapsed: 2.529293999541551ms
Info 17   [18:42:49.150] Project '/dev/null/inferredProject1*' (Inferred)
Info 18   [18:42:49.150] 	Files (0)

Info 19   [18:42:49.150] -----------------------------------------------
Info 20   [18:42:49.150] After ensureProjectForOpenFiles:
Info 21   [18:42:49.151] got projects updated in background, updating diagnostics for 
Info 22   [18:42:49.502] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 23   [18:42:49.503] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false Elapsed: 0.062012999784201384ms
Info 24   [18:42:49.692] Search path: /home/syuni/dotfiles/.emacs.d/.cache/lsp/npm/vls/lib/node_modules/vls/node_modules/typescript/lib
Info 25   [18:42:49.692] For info: /home/syuni/dotfiles/.emacs.d/.cache/lsp/npm/vls/lib/node_modules/vls/node_modules/typescript/lib/lib.es5.d.ts :: No config files found.
Info 26   [18:42:49.693] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 27   [18:42:49.695] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: true Elapsed: 2.0939529999159276ms
Info 28   [18:42:49.695] Project '/dev/null/inferredProject1*' (Inferred)
Info 29   [18:42:49.695] 	Files (1)

Info 30   [18:42:49.695] -----------------------------------------------
Info 31   [18:42:49.895] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 32   [18:42:49.895] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false Elapsed: 0.1476329998113215ms
Info 33   [18:42:52.300] Before ensureProjectForOpenFiles:
Info 34   [18:42:52.301] After ensureProjectForOpenFiles:
Info 35   [18:42:52.301] got projects updated in background, updating diagnostics for /home/syuni/dotfiles/.emacs.d/.cache/lsp/npm/vls/lib/node_modules/vls/node_modules/typescript/lib/lib.es5.d.ts
